序号,一级分类,二级分类,接口名称,接口路径
257,仓库,出入库,获取自定义出库类型,https://apidoc.lingxing.com/#/docs/Warehouse/outboundGetCustomTypes
258,仓库,出入库,创建待调拨的调拨单,https://apidoc.lingxing.com/#/docs/Warehouse/submitAllocationOrder
259,仓库,出入库,入库单确认入库,https://apidoc.lingxing.com/#/docs/Warehouse/InboundOrderConfirm
260,仓库,出入库,出库单确认出库,https://apidoc.lingxing.com/#/docs/Warehouse/OutboundOrderConfirm
261,仓库,出入库,调整单确认调整,https://apidoc.lingxing.com/#/docs/Warehouse/AdjustOrderConfirm
262,仓库,出入库,查询调整单确认调整结果,https://apidoc.lingxing.com/#/docs/Warehouse/GetAdjustOrderConfirmResult
263,仓库,出入库,删除出库单,https://apidoc.lingxing.com/#/docs/Warehouse/outboundOrderDelete
264,仓库,出入库,创建已完成的成本补录单,https://apidoc.lingxing.com/#/docs/Warehouse/FinishCostChangeOrder
265,仓库,海外仓,查询海外仓备货单列表,https://apidoc.lingxing.com/#/docs/Warehouse/listInbound
266,仓库,海外仓,查询海外仓备货单详情,https://apidoc.lingxing.com/#/docs/Warehouse/OverSeasStockDetail
267,仓库,海外仓,获取备货单号,https://apidoc.lingxing.com/#/docs/Warehouse/listOrderNos
268,仓库,海外仓,删除备货单,https://apidoc.lingxing.com/#/docs/Warehouse/DeleteOverSeaStockOrder
269,仓库,海外仓,更新备货单,https://apidoc.lingxing.com/#/docs/Warehouse/updateInbound
270,仓库,海外仓,更新备货单物流信息,https://apidoc.lingxing.com/#/docs/Warehouse/UpdateLogistics
271,仓库,海外仓,查询备货单装箱信息,https://apidoc.lingxing.com/#/docs/Warehouse/getPackingData
272,仓库,海外仓,上传备货单装箱信息,https://apidoc.lingxing.com/#/docs/Warehouse/packing
273,仓库,海外仓,查询备货单收货记录,https://apidoc.lingxing.com/#/docs/Warehouse/GetReceiveGoodRecords
274,仓库,海外仓,海外仓备货单发货,https://apidoc.lingxing.com/#/docs/Warehouse/SendInbound
275,仓库,海外仓,备货单分批收货,https://apidoc.lingxing.com/#/docs/Warehouse/inboundBatchesReceipt
276,仓库,海外仓,备货单结束到货,https://apidoc.lingxing.com/#/docs/Warehouse/inboundCompleteReceipt
277,仓库,海外仓,创建待发货/待收货/已完成的备货单,https://apidoc.lingxing.com/#/docs/Warehouse/CreateInbound
278,仓库,海外仓,查询系统产品与第三方海外仓产品映射列表,https://apidoc.lingxing.com/#/docs/Warehouse/matchSkuList
279,仓库,海外仓,查询海外仓sku配对列表,https://apidoc.lingxing.com/#/docs/Warehouse/OverseaWarehouseMatchList
280,仓库,海外仓,获取第三方SKU标签PDF文件,https://apidoc.lingxing.com/#/docs/Warehouse/productLabel
281,仓库,海外仓,获取第三方箱唛,https://apidoc.lingxing.com/#/docs/Warehouse/packageLabel
282,仓库,海外仓,查询移除入库单列表,https://apidoc.lingxing.com/#/docs/Warehouse/removalInboundList
283,仓库,海外仓,备货单分配库存,https://apidoc.lingxing.com/#/docs/Warehouse/overseaStockOrderAllocate
284,仓库,发货,查询销售出库单列表,https://apidoc.lingxing.com/#/docs/Warehouse/WmsOrderList
285,仓库,发货,物流下单 - 编辑运单号/跟踪号,https://apidoc.lingxing.com/#/docs/Warehouse/setTrackingNo
286,仓库,发货,查询销售出库单物流面单,https://apidoc.lingxing.com/#/docs/Warehouse/wmsOrderGetWmsLogisticsLabels
287,仓库,发货,销售出库单截单,https://apidoc.lingxing.com/#/docs/Warehouse/cancelWmsOrder
288,物流,,查询头程物流渠道列表,https://apidoc.lingxing.com/#/docs/Logistics/ChannelList
289,物流,,查询头程物流商列表,https://apidoc.lingxing.com/#/docs/Logistics/QueryHeadLogisticsProvider
290,物流,,批量添加头程物流商,https://apidoc.lingxing.com/#/docs/Logistics/AddProviders
291,物流,,批量添加头程物流方式,https://apidoc.lingxing.com/#/docs/Logistics/AddChannels
292,物流,,查询已启用的自发货物流方式,https://apidoc.lingxing.com/#/docs/Logistics/listUsedLogisticsType
293,物流,,查询运输方式列表,https://apidoc.lingxing.com/#/docs/Logistics/transportMethodList
294,新广告,报告,SP广告活动报表,https://apidoc.lingxing.com/#/docs/newAd/report/spCampaignReports
295,新广告,报告,SP广告位报告,https://apidoc.lingxing.com/#/docs/newAd/report/campaignPlacementReports
296,新广告,报告,SP广告组报表,https://apidoc.lingxing.com/#/docs/newAd/report/spAdGroupReports
297,新广告,报告,SP广告商品报表,https://apidoc.lingxing.com/#/docs/newAd/report/spProductAdReports
298,新广告,报告,SP关键词报表,https://apidoc.lingxing.com/#/docs/newAd/report/spKeywordReports
299,新广告,报告,SP商品定位报表,https://apidoc.lingxing.com/#/docs/newAd/report/spTargetReports
300,新广告,报告,SP已购买商品报表,https://apidoc.lingxing.com/#/docs/newAd/report/asinReports
301,新广告,报告,SP用户搜索词报表,https://apidoc.lingxing.com/#/docs/newAd/report/queryWordReports
302,新广告,报告,SB广告活动报表,https://apidoc.lingxing.com/#/docs/newAd/report/hsaCampaignReports
303,新广告,报告,SB广告活动-广告位报告,https://apidoc.lingxing.com/#/docs/newAd/report/hsaCampaignPlacementReports
304,新广告,报告,SB广告组报表,https://apidoc.lingxing.com/#/docs/newAd/report/hsaAdGroupReports
305,新广告,报告,SB广告的投放报告,https://apidoc.lingxing.com/#/docs/newAd/report/listHsaTargetingReport
306,新广告,报告,SB用户搜索词报表,https://apidoc.lingxing.com/#/docs/newAd/report/hsaQueryWordReports
307,新广告,报告,SB广告归因于广告的购买报告,https://apidoc.lingxing.com/#/docs/newAd/report/hsaPurchasedAsinReports
308,新广告,报告,SB广告创意报告,https://apidoc.lingxing.com/#/docs/newAd/report/listHsaProductAdReport
309,新广告,报告,SB关键词-广告位报告,https://apidoc.lingxing.com/#/docs/newAd/report/listHsaKeywordPlacementReport
310,新广告,报告,SD广告活动报表,https://apidoc.lingxing.com/#/docs/newAd/report/sdCampaignReports
311,新广告,报告,SD广告组报表,https://apidoc.lingxing.com/#/docs/newAd/report/sdAdGroupReports
312,新广告,报告,SD广告商品报表,https://apidoc.lingxing.com/#/docs/newAd/report/sdProductAdReports
313,新广告,报告,SD商品定位报表,https://apidoc.lingxing.com/#/docs/newAd/report/sdTargetReports
314,新广告,报告,SD已购买商品报表,https://apidoc.lingxing.com/#/docs/newAd/report/sdAsinReports
315,新广告,报告,SD匹配的目标报表,https://apidoc.lingxing.com/#/docs/newAd/report/sdMatchTargetReports
316,新广告,报告,SP广告活动小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/spCampaignHourData
317,新广告,报告,SP广告位小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/spAdPlacementHourData
318,新广告,报告,SP广告组小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/spAdGroupHourData
319,新广告,报告,SP广告小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/spAdvertiseHourData
320,新广告,报告,SP投放小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/spTargetHourData
321,新广告,报告,SB广告活动小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sbCampaignHourData
322,新广告,报告,SB广告组小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sbAdGroupHourData
323,新广告,报告,SB投放小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sbTargetHourData
324,新广告,报告,SB广告位小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sbAdPlacementHourData
325,新广告,报告,SD广告活动小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sdCampaignHourData
326,新广告,报告,SD广告组小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sdAdGroupHourData
327,新广告,报告,SD广告小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sdAdvertiseHourData
328,新广告,报告,SD投放小时数据,https://apidoc.lingxing.com/#/docs/newAd/report/sdTargetHourData
329,新广告,报告,查询DSP报告列表-订单,https://apidoc.lingxing.com/#/docs/newAd/report/dspReportOrderList
330,新广告,报告,出单时段分析-产品,https://apidoc.lingxing.com/#/docs/newAd/report/ProductAnalysisList
331,新广告,报告,SB分摊,https://apidoc.lingxing.com/#/docs/newAd/baseData/newadsbDivideAsinReports
332,新广告,基础数据,广告组合,https://apidoc.lingxing.com/#/docs/newAd/baseData/portfolios
333,新广告,基础数据,SP广告活动,https://apidoc.lingxing.com/#/docs/newAd/baseData/spCampaigns
334,新广告,基础数据,SP广告组,https://apidoc.lingxing.com/#/docs/newAd/baseData/spAdGroups
335,新广告,基础数据,SP广告商品,https://apidoc.lingxing.com/#/docs/newAd/baseData/spProductAds
336,新广告,基础数据,SP关键词,https://apidoc.lingxing.com/#/docs/newAd/baseData/spKeywords
337,新广告,基础数据,SP商品定位,https://apidoc.lingxing.com/#/docs/newAd/baseData/spTargets
338,新广告,基础数据,SP否定投放,https://apidoc.lingxing.com/#/docs/newAd/baseData/spNegativeTargetsOrKeywords
339,新广告,基础数据,SB广告活动,https://apidoc.lingxing.com/#/docs/newAd/baseData/hsaCampaigns
340,新广告,基础数据,SB广告组,https://apidoc.lingxing.com/#/docs/newAd/baseData/hsaAdGroups
341,新广告,基础数据,SB广告的投放,https://apidoc.lingxing.com/#/docs/newAd/baseData/sbTargeting
342,新广告,基础数据,SB广告创意,https://apidoc.lingxing.com/#/docs/newAd/baseData/sbAdHasProductAds
343,新广告,基础数据,SB否定关键词,https://apidoc.lingxing.com/#/docs/newAd/baseData/hsaNegativeKeywords
344,新广告,基础数据,SB否定商品投放,https://apidoc.lingxing.com/#/docs/newAd/baseData/hsaNegativeTargets
345,新广告,基础数据,SD广告活动,https://apidoc.lingxing.com/#/docs/newAd/baseData/sdCampaigns
346,新广告,基础数据,SD广告组,https://apidoc.lingxing.com/#/docs/newAd/baseData/sdAdGroups
347,新广告,基础数据,SD广告商品,https://apidoc.lingxing.com/#/docs/newAd/baseData/sdProductAds
348,新广告,基础数据,SD商品定位,https://apidoc.lingxing.com/#/docs/newAd/baseData/sdTargets
349,新广告,基础数据,SD否定商品定位,https://apidoc.lingxing.com/#/docs/newAd/baseData/sdNegativeTargets
350,新广告,基础数据,查询广告账号列表,https://apidoc.lingxing.com/#/docs/newAd/baseData/dspAccountList
351,新广告,报表下载,ABA搜索词报告-按周维度,https://apidoc.lingxing.com/#/docs/newAd/reportDownload/abaReport
352,新广告,报表下载,操作日志（新）,https://apidoc.lingxing.com/#/docs/newAd/apiLogStandard
353,财务,,查询费用类型列表,https://apidoc.lingxing.com/#/docs/Finance/feeManagementType
354,财务,,查询费用明细列表,https://apidoc.lingxing.com/#/docs/Finance/feeManagementList
355,财务,,创建费用单,https://apidoc.lingxing.com/#/docs/Finance/feeManagementCreate
356,财务,,编辑费用单,https://apidoc.lingxing.com/#/docs/Finance/feeManagementEdit
357,财务,,作废费用单,https://apidoc.lingxing.com/#/docs/Finance/feeManagementDiscard
358,财务,,删除费用单,https://apidoc.lingxing.com/#/docs/Finance/feeManagementDelete
359,财务,,查询利润报表-MSKU,https://apidoc.lingxing.com/#/docs/Finance/bdMSKU
360,财务,,查询利润报表-ASIN,https://apidoc.lingxing.com/#/docs/Finance/bdASIN
361,财务,,查询利润报表-父ASIN,https://apidoc.lingxing.com/#/docs/Finance/bdParentASIN
362,财务,,查询利润报表-SKU,https://apidoc.lingxing.com/#/docs/Finance/bdSKU
363,财务,,查询利润报表-店铺,https://apidoc.lingxing.com/#/docs/Finance/bdSeller
364,财务,,查询利润报表-店铺月度汇总,https://apidoc.lingxing.com/#/docs/Finance/bdSellerSummary
365,财务,,查询利润报表 - 订单维度transaction视图,https://apidoc.lingxing.com/#/docs/Finance/profitReportOrderTranscationList
366,财务,,查询利润报表-订单,https://apidoc.lingxing.com/#/docs/Finance/bdOrder
367,财务,,查询利润报表（旧）-MSKU,https://apidoc.lingxing.com/#/docs/Finance/FianceProfitMsku
368,财务,,查询利润报表（旧）-ASIN（父级）,https://apidoc.lingxing.com/#/docs/Finance/profitAsin
369,财务,,查询利润报表（旧）-ASIN（子级）,https://apidoc.lingxing.com/#/docs/Finance/profitAsinSon
370,财务,,查询利润报表（旧）-结算明细,https://apidoc.lingxing.com/#/docs/Finance/profitSettlement
371,财务,,查询结算中心-结算汇总,https://apidoc.lingxing.com/#/docs/Finance/settlementSummaryList
372,财务,,查询结算中心-交易明细,https://apidoc.lingxing.com/#/docs/Finance/settlementTransactionList
373,财务,,查询库存分类账detail数据,https://apidoc.lingxing.com/#/docs/Finance/centerOdsDetailQuery
374,财务,,查询库存分类账summary数据,https://apidoc.lingxing.com/#/docs/Finance/summaryQuery
375,财务,,查询发货结算报告,https://apidoc.lingxing.com/#/docs/Finance/SettlementReport
376,财务,,查询settlement下载URL,https://apidoc.lingxing.com/#/docs/Finance/SettlementExportUrlGet
377,财务,,查询FBA成本计价流水,https://apidoc.lingxing.com/#/docs/Finance/CostStream
378,财务,,查询广告发票列表,https://apidoc.lingxing.com/#/docs/Finance/InvoiceList
379,财务,,查询广告发票活动列表,https://apidoc.lingxing.com/#/docs/Finance/InvoiceCampaignList
380,财务,,查询广告发票基本信息,https://apidoc.lingxing.com/#/docs/Finance/InvoiceDetail
381,财务,,立即重算-利润报表数据,https://apidoc.lingxing.com/#/docs/Finance/ComputeManual
382,财务,,查询请款单列表,https://apidoc.lingxing.com/#/docs/Finance/RequestFundsOrderList
383,财务,,查询请款池-货款现结,https://apidoc.lingxing.com/#/docs/Finance/requestFundsPoolPurchaseList
384,财务,,查询请款池-货款月结,https://apidoc.lingxing.com/#/docs/Finance/requestFundsPoolInboundList
385,财务,,查询请款池-货款预付款,https://apidoc.lingxing.com/#/docs/Finance/requestFundsPoolPrepayList
386,财务,,查询请款池-物流请款,https://apidoc.lingxing.com/#/docs/Finance/requestFundsPoolLogisticsList
387,财务,,查询请款池-其他应付款,https://apidoc.lingxing.com/#/docs/Finance/requestFundsPoolCustomFeeList
388,财务,,查询请款池-其他费用,https://apidoc.lingxing.com/#/docs/Finance/requestFundsPoolOtherFeeList
389,财务,,应收报告-列表查询,https://apidoc.lingxing.com/#/docs/Finance/receivableReportList
390,财务,,应收报告-详情-列表,https://apidoc.lingxing.com/#/docs/Finance/reportListDetail
391,财务,,应收报告-详情-基础信息,https://apidoc.lingxing.com/#/docs/Finance/reportListDetailInfo
392,客服,,查询邮件列表,https://apidoc.lingxing.com/#/docs/Service/lists
393,客服,,查询邮件详情,https://apidoc.lingxing.com/#/docs/Service/detail
394,客服,,查询评价管理-Review,https://apidoc.lingxing.com/#/docs/Service/review
395,客服,,查询评价管理-Review(新),https://apidoc.lingxing.com/#/docs/Service/reviewV2
396,客服,,查询评价管理-1-3星Feedback列表,https://apidoc.lingxing.com/#/docs/Service/FeedbackListMws
397,客服,,查询评价管理-4-5星Feedback列表,https://apidoc.lingxing.com/#/docs/Service/FeedbackList
398,客服,,查询评价统计-Review列表,https://apidoc.lingxing.com/#/docs/Service/reviewLists
399,客服,,查询评价统计-Review每日新增数,https://apidoc.lingxing.com/#/docs/Service/reviewDetail
400,客服,,查询评价统计-Feedback列表,https://apidoc.lingxing.com/#/docs/Service/feedbackLists
401,客服,,查询评价统计-Feedback每日新增数,https://apidoc.lingxing.com/#/docs/Service/feedbackDetail
402,客服,,查询客户列表（旧）,https://apidoc.lingxing.com/#/docs/Service/CustomerList
403,客服,,查询售后工单列表,https://apidoc.lingxing.com/#/docs/Service/AfterSalesWorkOrderList
404,客服,,查询店铺绩效列表,https://apidoc.lingxing.com/#/docs/Service/storePerformanceList
405,客服,,查询店铺绩效详情,https://apidoc.lingxing.com/#/docs/Service/PerformanceNoticeDetail
406,客服,,查询买家之声列表,https://apidoc.lingxing.com/#/docs/Service/voiceOfBuyerList
407,客服,,查询RMA管理,https://apidoc.lingxing.com/#/docs/Service/customerServiceRmaManageList
408,客服,,查询客户列表（新）,https://apidoc.lingxing.com/#/docs/Service/customerServiceCrmcustomerIndex
409,客服,,查询业绩通知列表,https://apidoc.lingxing.com/#/docs/Service/PerformanceNoticeList
410,工具,,关键词列表,https://apidoc.lingxing.com/#/docs/Tools/GetKeywordList
411,工具,,查询竞品监控列表,https://apidoc.lingxing.com/#/docs/Tools/CompetitiveMonitorList
412,工具,,查询预警消息列表-商品,https://apidoc.lingxing.com/#/docs/Tools/warningMessageGoodsList
413,工具,,查询预警消息列表-库存,https://apidoc.lingxing.com/#/docs/Tools/warningMessageInventoryList
414,统计,,查询销量、订单量、销售额,https://apidoc.lingxing.com/#/docs/Statistics/AsinDailyLists
415,统计,,查询产品表现（旧）,https://apidoc.lingxing.com/#/docs/Statistics/AsinList
416,统计,,查询产品表现,https://apidoc.lingxing.com/#/docs/Statistics/AsinListNew
417,统计,,查询asin360小时数据,https://apidoc.lingxing.com/#/docs/Statistics/performanceTrendByHour
418,统计,,查询退款量（旧）,https://apidoc.lingxing.com/#/docs/Statistics/MonthRefund
419,统计,,查询利润统计（旧）-MSKU,https://apidoc.lingxing.com/#/docs/Statistics/ProfitMsku
420,统计,,查询利润统计-MSKU,https://apidoc.lingxing.com/#/docs/Statistics/statisticsOpenMSKU
421,统计,,查询利润统计-ASIN,https://apidoc.lingxing.com/#/docs/Statistics/statisticsOpenASIN
422,统计,,查询利润统计-父ASIN,https://apidoc.lingxing.com/#/docs/Statistics/statisticsOpenParent
423,统计,,查询利润统计-店铺,https://apidoc.lingxing.com/#/docs/Statistics/statisticsOpenSeller
424,统计,,查询FBA长期仓储费,https://apidoc.lingxing.com/#/docs/Statistics/FBAStorageFeeLongTerm
425,统计,,查询FBA月仓储费,https://apidoc.lingxing.com/#/docs/Statistics/FBAStorageFeeMonth
426,统计,,查询店铺汇总销量,https://apidoc.lingxing.com/#/docs/Statistics/StoreSales
427,统计,,查询订单利润-MSKU,https://apidoc.lingxing.com/#/docs/Finance/OrderProfitListMSKU
428,统计,,库存报表-本地仓-新报表-汇总,https://apidoc.lingxing.com/#/docs/Statistics/LocalAggregateListNew
429,统计,,库存报表-本地仓-新报表-明细,https://apidoc.lingxing.com/#/docs/Statistics/LocalDetailListNew
430,统计,,库存报表-本地仓-历史报表-汇总,https://apidoc.lingxing.com/#/docs/Statistics/LocalAggregateList
431,统计,,库存报表-本地仓-历史报表-明细,https://apidoc.lingxing.com/#/docs/Statistics/LocalDetailList
432,统计,,库存报表-海外仓-新报表-汇总,https://apidoc.lingxing.com/#/docs/Statistics/OverseasAggregateListNew
433,统计,,库存报表-海外仓-新报表-明细,https://apidoc.lingxing.com/#/docs/Statistics/OverseasDetailListNew
434,统计,,库存报表-海外仓-历史报表-汇总,https://apidoc.lingxing.com/#/docs/Statistics/OverseasAggregateList
435,统计,,库存报表-海外仓-历史报表-明细,https://apidoc.lingxing.com/#/docs/Statistics/OverseasDetailList
436,统计,,库存报表-FBA-新版-汇总,https://apidoc.lingxing.com/#/docs/Statistics/FbaStockAggregateListNew
437,统计,,库存报表-FBA-新版-明细,https://apidoc.lingxing.com/#/docs/Statistics/FbaStockDetailListNew
438,统计,,库存报表-FBA-历史报表-汇总-明细,https://apidoc.lingxing.com/#/docs/Statistics/FbaStockReportList
439,统计,,创建移除订单,https://apidoc.lingxing.com/#/docs/Statistics/CreateRemovalOrder
440,统计,,查询亚马逊赔偿报告列表,https://apidoc.lingxing.com/#/docs/Statistics/ReimbursementList
441,统计,,查询采购报表列表-产品,https://apidoc.lingxing.com/#/docs/Statistics/PurchaseReportProductList
442,统计,,查询采购报表列表-供应商,https://apidoc.lingxing.com/#/docs/Statistics/PurchaseReportSupplierList
443,统计,,查询采购报表列表-采购员,https://apidoc.lingxing.com/#/docs/Statistics/PurchaseReportBuyerList
444,统计,,查询运营日志,https://apidoc.lingxing.com/#/docs/Statistics/operateLogList
445,统计,,查询运营日志(新),https://apidoc.lingxing.com/#/docs/Statistics/operateLogV2List
446,目标管理,,店铺维度-批量查询目标,https://apidoc.lingxing.com/#/docs/TargetManage/StoreBatchSelect
447,目标管理,,店铺维度-批量新增/更新目标,https://apidoc.lingxing.com/#/docs/TargetManage/StoreBatchOperate
448,目标管理,,店铺维度-批量删除目标,https://apidoc.lingxing.com/#/docs/TargetManage/StoreBatchDelete
449,目标管理,,组织维度-批量查询目标,https://apidoc.lingxing.com/#/docs/TargetManage/UserBatchSelect
450,目标管理,,组织维度-批量新增/更新目标,https://apidoc.lingxing.com/#/docs/TargetManage/UserBatchOperate
451,目标管理,,组织维度-批量删除目标,https://apidoc.lingxing.com/#/docs/TargetManage/UserBatchDelete
452,多平台,,查询多平台店铺信息,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/StoreInfoV2
453,多平台,,查询订单管理订单列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/MultiPlatOrderV2
454,多平台,,查询多平台配对列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/PairListV2
455,多平台,,批量添加/编辑多平台配对关系,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/pairMultiPlatformV2
456,多平台,,预发货,https://apidoc.lingxing.com/#/docs/MultiPlatform/PreShipment
457,多平台,,审核发货,https://apidoc.lingxing.com/#/docs/MultiPlatform/BatchReview
458,多平台,,创建订单,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/CreateOrdersV2
459,多平台,,合并订单,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/MergeOrder
460,多平台,,拆分订单,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/SplitOrder
461,多平台,,标记订单不发货,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/CancelOrder
462,多平台,,订单发货,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/selfShipmentOrderDeliveryGoods
463,多平台,,订单称重,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/setOrderWeighed
464,多平台,,编辑订单（新版）,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/EditOrderV2
465,多平台,,编辑/更新自发货订单,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/UpdateOrderV2
466,多平台,,更新订单客服备注,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/mpOrderUpdateV2
467,多平台,,快速出库,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/FastOutboundV2
468,多平台,,获取快速出库结果,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/GetFastOutboundResultV2
469,多平台,,查询销量统计列表(将于04.30下线),https://apidoc.lingxing.com/#/docs/MultiPlatform/platformStatisticsSaleStatPageList
470,多平台,,查询销量统计列表V2,https://apidoc.lingxing.com/#/docs/Statistics/PlatformStatisticsSaleStatPageListV2
471,多平台,,查询可用报告列表 - Walmart Payment,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/WalmartPaymentQueryReport
472,多平台,,查询报告详情 - Walmart Payment,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/WalmartPaymentQueryPage
473,多平台,,查询平台仓发货单列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/QueryShippingListPage
474,多平台,,查询平台仓发货单列表v2,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/QueryShippingListV2
475,多平台,,修改平台仓发货单备注,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/ModifyPlatformRemark
476,多平台,,查询WFS货件列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/QueryWFSCargoPage
477,多平台,,查询WFS库存列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/QueryWFSInventionPage
478,多平台,,查询Temu库存,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/FbtStockSearch
479,多平台,,查询Temu货件,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/TemuCargo
480,多平台,,查询FULL库存,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/FullList
481,多平台,,查询退件地址列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/addressReturnAddressList
482,多平台,,查询WFS货件可添加商品列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/addCargoGoodsList
483,多平台,,WFS货件暂存,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/multiplatformCargoStorage
484,多平台,,删除暂存货件,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/DeleteCargoStorage
485,多平台,,查询利润报表-MSKU(旧版，将于04.30下线),https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportPageListMsku
486,多平台,,查询利润报表-SKU(旧版，将于04.30下线),https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportPageListSku
487,多平台,,查询利润报表-店铺(旧版，将于04.30下线),https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportPageListStore
488,多平台,,查询利润报表-订单(旧版，将于04.30下线),https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportPageListOrder
489,多平台,,查询结算利润（利润报表）-msku,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportMsku
490,多平台,,查询结算利润（利润报表）-sku,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportSku
491,多平台,,查询结算利润（利润报表）-店铺,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportSeller
492,多平台,,查询结算利润（利润报表）-订单,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/profitReportOrder
493,多平台,,查询Shopify在线商品-子体数据,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/ShopifyVariantList
494,多平台,,查询Shein在线商品,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/SheinList
495,多平台,,查询TikTok在线商品,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/TikTokList
496,多平台,,查询Temu在线商品,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/TemuList
497,多平台,,查询Line在线商品,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/LineList
498,多平台,,查询eBay在线商品列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/eBayList
499,多平台,,查询Walmart在线商品列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/walmartList
500,多平台,,查询AliExpress在线商品列表 - 自运营,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/aliexpressList
501,多平台,,查询AliExpress在线商品列表 - 托管模式,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/AliexpressListV2
502,多平台,,批量TEMU地址解密,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/BatchTemuAddressDecrypt
503,多平台,,平台仓发货单分配库存,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/shippingOrderAllocate
504,多平台,,平台仓发货单拣货,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/shippingOrderPicking
505,多平台,,平台仓发货单发货,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/shippingOrderDelivery
506,多平台,,查询Walmart Review列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/WalmartCommentList
507,多平台,,查询平台订单列表,https://apidoc.lingxing.com/#/docs/MultiPlatform/V2/newPlatformOrderList
508,VC,,查询VC店铺列表,https://apidoc.lingxing.com/#/docs/VC/platformAuthVcSellerPageList
509,VC,,查询VC-Listing列表,https://apidoc.lingxing.com/#/docs/VC/listingManageVcListingPageList
510,VC,,查询VC订单列表,https://apidoc.lingxing.com/#/docs/VC/vcOrderPageList
511,VC,,查询VC订单详情【PO】,https://apidoc.lingxing.com/#/docs/VC/vcOrderPoDetail
512,VC,,查询VC订单详情【DF】,https://apidoc.lingxing.com/#/docs/VC/vcOrderDfDetail
513,VC,,VC订单-确认发货【DF】,https://apidoc.lingxing.com/#/docs/VC/vcOrderDfConfirmShipment
514,VC,,VC订单-请求标签【DF】,https://apidoc.lingxing.com/#/docs/VC/vcOrderDfSubmitShippingLabel
515,VC,,VC订单-打印标签【DF】,https://apidoc.lingxing.com/#/docs/VC/vcOrderDfGetShippingLabel
